frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
7,3.0,[728.0337575031097 1403.83480633411 1424.2459646774284 2040.4387440817568],[942.6277465820312 1802.425537109375 1184.5889892578125 1902.52490234375],0.4928334057331085,NA13NRU,0.17303821862642954
8,5.0,[2195.6627040573067 1179.7501406367721 2817.6061178129667 1779.6307263763404],[2413.68359375 1588.52197265625 2587.294677734375 1672.470703125],0.6153361201286316,0,0
8,3.0,[724.547578216008 1407.5111207407708 1425.3347684623095 2052.7157535279734],[938.2731323242188 1805.97802734375 1185.6671142578125 1911.028564453125],0.5632282495498657,0,0
9,5.0,[2194.8737916144464 1187.4166459475887 2821.9105392504234 1787.412990507008],[2420.7509765625 1596.2391357421875 2590.49755859375 1682.4385986328125],0.6081218719482422,0,0
9,3.0,[719.3434197221318 1413.5827939792998 1421.7870360577076 2058.188679931256],[954.4998779296875 1824.6705322265625 1172.0086669921875 1918.4849853515625],0.5394649505615234,NA13NRU,0.42933439295048176
10,5.0,[2196.4455951378077 1192.9141635440642 2827.62286273507 1794.7375436789775],[2420.9755859375 1596.533935546875 2593.8125 1690.518310546875],0.6364392638206482,ML51VSU,0.4761421661483644
10,3.0,[710.608346164253 1419.0849493837231 1416.7056690959453 2066.5472349821644],[935.376708984375 1832.4049072265625 1177.8861083984375 1928.1412353515625],0.5784583687782288,NA13NRU,0.43134045162396367
11,5.0,[2196.3151526088072 1195.4101419317533 2826.218119549017 1799.3834632131163],[2425.525146484375 1601.3408203125 2597.036376953125 1695.908935546875],0.6335138082504272,0,0
11,3.0,[701.9183941441956 1423.5520287318166 1410.7906346373393 2073.1104536733965],[923.5907592773438 1831.7886962890625 1181.8697509765625 1942.950927734375],0.5649682283401489,NA13NRU,0.2854002770421503
12,5.0,[2193.2994331546006 1199.0992425281638 2818.7501428736396 1804.0906407287553],[2418.03173828125 1608.80859375 2596.042236328125 1700.7158203125],0.5458313226699829,0,0
12,3.0,[698.1074237963667 1430.867999465772 1408.5370416903988 2082.0220036600526],[917.34228515625 1840.0242919921875 1168.3883056640625 1944.0260009765625],0.5050683617591858,NA13NRU,0.24356218945728922
13,5.0,[2194.1453290274194 1204.5740335083688 2817.12247184265 1809.9755898018439],[2425.58935546875 1618.761474609375 2596.2451171875 1701.103271484375],0.5818624496459961,0,0
13,3.0,[693.6689187063696 1439.99922087655 1407.0168642439041 2092.1357205653876],[925.7426147460938 1853.29833984375 1158.468505859375 1958.682861328125],0.4612722098827362,MA13NRU,0.6201196840733207
14,5.0,[2194.709805344406 1209.7100667047155 2816.493866580553 1814.593869870723],[2424.335693359375 1625.8406982421875 2597.409912109375 1709.0430908203125],0.616591215133667,0,0
14,3.0,[691.5624778117378 1442.5360908699076 1406.7009578627637 2097.0175813748174],[925.9462890625 1860.3262939453125 1170.804443359375 1966.883056640625],0.5571580529212952,MA13NRU,0.17813401834636253
15,5.0,[2195.7674137443523 1213.7208778058516 2817.548545879507 1819.3669362346582],[2423.824951171875 1634.689453125 2597.97802734375 1715.2305908203125],0.6465806365013123,0,0
15,3.0,[688.0376136360874 1449.704772056472 1402.958979369665 2104.74416339259],[905.5786743164062 1874.880615234375 1173.8658447265625 1974.226318359375],0.35590723156929016,NA13NRU,0.24687938512437124
16,5.0,[2199.2585301818663 1221.2814107649913 2821.1414735785247 1828.029113937613],[2425.9013671875 1637.69091796875 2598.005859375 1721.92529296875],0.6484193205833435,0,0
16,3.0,[683.2487488055276 1458.2164735531394 1400.7607942534582 2112.3877397516294],[928.6359252929688 1881.05419921875 1159.704345703125 1982.8406982421875],0.5846607089042664,0,0
17,5.0,[2200.06399442003 1225.680458770577 2822.847504728721 1833.4892359096257],[2425.079833984375 1642.60400390625 2595.917236328125 1725.1787109375],0.6623785495758057,0,0
17,3.0,[679.5990562812098 1463.5064410790537 1400.7349769798857 2117.701044199958],[924.3287353515625 1882.8936767578125 1153.1334228515625 1989.9202880859375],0.6093679666519165,0,0
18,5.0,[2201.0593187620234 1231.6790126150197 2821.9317744208856 1843.758363211379],[2430.722900390625 1641.2406005859375 2614.875 1736.0731201171875],0.657509446144104,HD51VSU,0.29887596743437095
18,3.0,[674.2133998037159 1470.438295734535 1397.2895691068695 2125.7361144064816],[897.8265380859375 1881.2052001953125 1161.661376953125 1993.2679443359375],0.45766422152519226,0,0
19,5.0,[2199.8306123666125 1245.4881711044522 2825.0794068818523 1856.5840838027325],[2435.0068359375 1658.251953125 2616.334716796875 1748.287841796875],0.6259393095970154,0,0
19,3.0,[671.2372520464119 1482.4173998780932 1393.947252906437 2136.6763561549533],[903.7427368164062 1901.384765625 1157.526123046875 2006.748046875],0.572807252407074,NA13NRU,0.7995902677453127
20,3.0,[669.5854546115619 1491.0206933424429 1394.0743691189946 2143.5322410779486],[917.968505859375 1911.1563720703125 1148.3724365234375 2009.7374267578125],0.6390044689178467,NA13NRU,0.3309185440841911
20,5.0,[2200.490653121326 1250.511966891218 2830.8545078232332 1862.2561343377401],[2433.158935546875 1659.5841064453125 2616.353271484375 1747.4366455078125],0.6171999573707581,0,0
21,5.0,[2203.5890534409104 1251.1196875923654 2837.9162954842673 1866.6150833352742],[2433.712646484375 1672.27490234375 2614.56494140625 1752.9486083984375],0.6261605024337769,0,0
21,3.0,[666.3378608851226 1496.8748745007006 1392.744689803254 2148.6518331313628],[898.4423217773438 1922.7484130859375 1131.7933349609375 2019.0999755859375],0.6141663193702698,0,0
22,5.0,[2204.643473664717 1252.4664107735002 2842.488283112585 1872.0854250397242],[2435.10205078125 1681.0770263671875 2619.671630859375 1763.31884765625],0.6458796262741089,CD51VSU,0.1715260369094341
22,3.0,[660.3425120382024 1506.1709346340085 1388.3615755873732 2153.3481530219824],[884.35107421875 1924.3564453125 1152.848876953125 2037.995361328125],0.6199501752853394,NA13NRU,0.2959305352199378
